,id,value_x,value_y,group,language,follower,friend,time
114,1395225548633169923,"@Dannbehh Yup, canâ€™t believe he is still on the court lol",0.8,west,en,254,613,Thu May 20 03:51:07 +0000 2021
115,1395225880528445440,KCP been Lakers best player lmao,0.8,west,en,254,613,Thu May 20 03:52:26 +0000 2021
116,1395226643963076608,Lebron back on the court and immediately Lakers half the deficit,-0.08333333333333333,west,en,254,613,Thu May 20 03:55:28 +0000 2021
117,1395226749290438661,Just had a wonderful visit to one of our feeder schools. The kids and staff at Our Lady of the Way in Wallan (a braâ€¦ https://t.co/DG1XidLhTx,1.0,west,en,3241,452,Thu May 20 03:55:53 +0000 2021
118,1395227369682530308,Just had a wonderful visit to one of our feeder schools. The kids and staff at Our Lady of the Way in Wallan (a braâ€¦ https://t.co/Nbtsc9jhdd,1.0,west,en,3241,452,Thu May 20 03:58:21 +0000 2021
119,1395227704748744707,"Twice tonight the Warriors had no momentum, and Steph bails out a bad offensive possession with a 3 no one else wouâ€¦ https://t.co/zpkjUx5sXV",-0.6999999999999998,west,en,254,613,Thu May 20 03:59:41 +0000 2021
120,1395228131057803266,"Who woke the King ğŸ‘‘ @KingJames ğŸ˜¤ğŸ˜¤ğŸ˜¤
Huge finish coming up here.",0.4000000000000001,west,en,225,453,Thu May 20 04:01:23 +0000 2021
121,1395228512743608321,LJ + AD at the 5. Frank isnt fucking around here,-0.6,west,en,254,613,Thu May 20 04:02:54 +0000 2021
122,1395228982988087300,Fuck yeah. Lebron too big too strong,0.01111111111111109,west,en,254,613,Thu May 20 04:04:46 +0000 2021
123,1395229351411552260,@forumbluegold Worth it for 3 days rest,0.3,west,en,254,613,Thu May 20 04:06:14 +0000 2021
124,1395229678630146049,@TrentC_95 Frustrating but it is what it is,-0.4,west,en,254,613,Thu May 20 04:07:32 +0000 2021
125,1395230401631719430,@jonkudelka There will be no new gas plant. It is a political announceable from #scottyfromannouncements - for theâ€¦ https://t.co/4TgQYVUe91,-0.03409090909090909,west,en,488,783,Thu May 20 04:10:24 +0000 2021
126,1395231179180187651,@pokeracz Absolutely,0.2,west,en,101,118,Thu May 20 04:13:29 +0000 2021
127,1395232439333650435,Stop throwing low entry passes around Draymond Green,-0.1,west,en,254,613,Thu May 20 04:18:30 +0000 2021
128,1395232986010816517,@Doggiesman @westernbulldogs Should be minimum 50000for such good team where weâ€™re at and going come on join up now,0.35,west,en,10,75,Thu May 20 04:20:40 +0000 2021
129,1395233154433110017,"@ginkgocrown I just cook a couple eggs and hope that 1 or 2 work out, if not, wow more boiled eggs!",0.2875,west,en,46,871,Thu May 20 04:21:20 +0000 2021
130,1395235976457297921,@JeffreeStar I snapped my Achilles and the other day I cried in dance because I did a pirouette on my right foot foâ€¦ https://t.co/oYwAxoWXHz,0.08035714285714285,west,en,12,86,Thu May 20 04:32:33 +0000 2021
131,1395238617413521408,@twitchcaaaaate Ugh yes please I need caffeine so bad,-0.6999999999999998,west,en,12008,8158,Thu May 20 04:43:03 +0000 2021
132,1395240626258468864,"@North1521 Haha tweet aged very well.
That was unreal viewing",0.10000000000000002,west,en,226,453,Thu May 20 04:51:02 +0000 2021
